PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,City,State,Zip
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council/Manhattan,New York,Chinese American Planning Council,212.941.0920,High School,100 Hester Street,New York,New York,10002
Jobs & Internships,In-School Youth Employment (ISY),City As School,New York,"Federation Employment and Guidance Service, Inc.",212.366.8441,High School,16 Clarkson Street,New York,New York,10014
Jobs & Internships,In-School Youth Employment (ISY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,High School,121 6th Avenue,New York,New York,10013
Jobs & Internships,In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,High School,4101 8th Avenue,Brooklyn,New York,11232
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173,High School,43 31 39th Street,Queens,New York,11104
Jobs & Internships,In-School Youth Employment (ISY),"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718.589.1510,High School,997 163rd Street,Bronx,New York,10459
Jobs & Internships,In-School Youth Employment (ISY),Bais Yaakov Academy,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,2 Franklin Street,Brooklyn,New York,11222
Jobs & Internships,In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,High School,4004 4th Avenue,Brooklyn,New York,11232
Jobs & Internships,In-School Youth Employment (ISY),New York City Mission Society,New York,New York City Mission Society,212.979.5764,High School,646 Malcolm X Boulevard,New York,New York,10037
Jobs & Internships,In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,62 04 Myrtle Avenue,Queens,New York,11385
Jobs & Internships,In-School Youth Employment (ISY),Police Athletic League (PAL),Queens,"Police Athletic League, Inc.",212.477.6504,High School,55 Layton Avenue,Queens,New York,10301
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,High School,10 25 41st Avenue,Queens,New York,11101
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,Queens,Queens Child Guidance Center,718.651.7770,High School,133 25 Guy R Brewer Boulevard,Queens,New York,11434
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,High School,158 40 76th Road,Queens,New York,11366
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,715 Ocean Terrace,Staten Island,New York,10301
Jobs & Internships,In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,Brooklyn,Bedford Stuyvesant Restoration Corporation,718.636.6931,High School,1368 Fulton Street,Brooklyn,New York,11216
Jobs & Internships,In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,High School,555 Bergen Avenue,Bronx,New York,10455
Jobs & Internships,In-School Youth Employment (ISY),United Activities Unlimited @ PS 18 Beacon,Staten Island,"United Activities Unlimited, Inc.",718.987.8111,High School,221 Broadway,Staten Island,New York,10310
Jobs & Internships,In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,925 Astor Avenue,Bronx,New York,10469
Jobs & Internships,In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,330 59th Street,Brooklyn,New York,11220
Jobs & Internships,In-School Youth Employment (ISY),John F. Kennedy High School - H.S. 475,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,99 Terrace View Avenue,Bronx,New York,10463
Jobs & Internships,In-School Youth Employment (ISY),Grace Dodge Vocational High School - H.S. 660,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,High School,2474 Crotona Avenue,Bronx,New York,10458
Jobs & Internships,In-School Youth Employment (ISY),"Beth Chana, Ltd",Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,712 Bedford Avenue,Brooklyn,New York,11222
Jobs & Internships,In-School Youth Employment (ISY),"Sesame Flyers International, Inc.",Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,High School,3510 Church Avenue,Brooklyn,New York,11203
Jobs & Internships,In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,High School,23 16 30th Avenue,Queens,New York,11102
Jobs & Internships,In-School Youth Employment (ISY),Public School 1 - Bergen Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,309 47 Street,Brooklyn,New York,11220
Jobs & Internships,In-School Youth Employment (ISY),Franklin K. Lane High School - H.S. 420,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,999 Jamaica Avenue,Brooklyn,New York,11208
Jobs & Internships,In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,Brooklyn,SCO Family of Services,516.671.1253,High School,345 43rd Street,Brooklyn,New York,11232
Jobs & Internships,In-School Youth Employment (ISY),Ridgewood Bushwick Youth Center,Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,High School,1474 Gates Avenue,Brooklyn,New York,11237
Jobs & Internships,In-School Youth Employment (ISY),"Police Athletic League, Inc",Queens,"Police Athletic League, Inc.",212.477.6504,High School,116 25 Guy R Brewer Boulevard,Queens,New York,11434
Jobs & Internships,In-School Youth Employment (ISY),"Children's Arts & Science Workshops, Inc.",New York,"Children's Arts & Science Workshops, Inc.",212.923.7766,High School,686 204th Street,New York,New York,10034
Jobs & Internships,In-School Youth Employment (ISY),"New Spirit II, Inc. -- Youth Center",Queens,"New Spirit II, Inc.",718.712.1100,High School,162 04 South Road,Queens,New York,11433
Jobs & Internships,In-School Youth Employment (ISY),Herbert H. Lehman High School - H.S. 405,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,3000 Tremont Avenue,Bronx,New York,10461
Jobs & Internships,In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,High School,1920 Mott Avenue,Queens,New York,11691
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 232 - Winthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,High School,905 Winthrop Street,Brooklyn,New York,11203
Jobs & Internships,In-School Youth Employment (ISY),"Children's Arts & Science Workshops, Inc.",New York,"Children's Arts & Science Workshops, Inc.",212.923.7766,High School,4271 Broadway,New York,New York,10033
Jobs & Internships,In-School Youth Employment (ISY),East Harlem Council For Community Improvement,New York,East Harlem Council For Community Improvement,212.410.7707,High School,413 120th Street,New York,New York,10035
Jobs & Internships,In-School Youth Employment (ISY),Foster-Laurie,Queens,"Police Athletic League, Inc.",212.477.6504,High School,199 10 112th Avenue,Queens,New York,11412
Jobs & Internships,In-School Youth Employment (ISY),"Harlem Children's Zone, Inc",New York,"Harlem Children's Zone, Inc",212.534.0700,High School,35 125th Street,New York,New York,10035
Jobs & Internships,In-School Youth Employment (ISY),Washington Houses Community Center,New York,Union Settlement Association,212.828.6018,High School,1775 Third Avenue,New York,New York,10029
Jobs & Internships,In-School Youth Employment (ISY),"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.882.4000,High School,3400 Reservoir Oval,Bronx,New York,10467
Jobs & Internships,In-School Youth Employment (ISY),Public School 181 - John Steptoe School,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,1023 New York Avenue,Brooklyn,New York,11203
Jobs & Internships,In-School Youth Employment (ISY),P.S. 138,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,760 Prospect Place,Brooklyn,New York,11216
Jobs & Internships,In-School Youth Employment (ISY),"Elmcor Youth and Adult Activities, Inc.",Queens,"Elmcor Youth & Adult Activities, Inc.",718.651.0096,High School,33 16 108th Street,Queens,New York,11368
Jobs & Internships,In-School Youth Employment (ISY),"Bronx School for Law, Government & Justice - H.S. 505",Bronx,"Federation Employment and Guidance Service, Inc.",212.366.8441,High School,244 163rd Street,Bronx,New York,10451
Jobs & Internships,In-School Youth Employment (ISY),Employment & Technology Center (ETC),New York,"Harlem Children's Zone, Inc",212.534.0700,High School,304 117th Street,New York,New York,10026
Jobs & Internships,In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,1460 Pennsylvania Avenue,Brooklyn,New York,11239
Jobs & Internships,In-School Youth Employment (ISY),"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,High School,3001 37th Street,Brooklyn,New York,11224
Jobs & Internships,In-School Youth Employment (ISY),Bnos Ahavas Israel Viznitz,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,12 Franklin Street,Brooklyn,New York,11222
Jobs & Internships,In-School Youth Employment (ISY),East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2129,High School,2644 Atlantic Avenue,Brooklyn,New York,11207
Jobs & Internships,In-School Youth Employment (ISY),Public School 14 - Cornelius Vanderbilt Elementary School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,100 Tompkins Avenue,Staten Island,New York,10304
Jobs & Internships,In-School Youth Employment (ISY),"Stanley M. Isaacs Neighborhood Center, Inc.",New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212.360.7620,High School,415 93rd Street,New York,New York,10128
Jobs & Internships,In-School Youth Employment (ISY),Flushing High School - H.S. 460,Queens,"Sports & Arts In Schools Foundation, Inc.",718.786.7110,High School,35 01 Union Street,Queens,New York,11354
Jobs & Internships,In-School Youth Employment (ISY),The International High School @ Prospect Heights (K524),Brooklyn,Chinese American Planning Council,212.941.0920,High School,883 Classon Avenue,Brooklyn,New York,11225
Jobs & Internships,In-School Youth Employment (ISY),Family Preservation Center/MBCS,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,High School,1125 Grand,Bronx,New York,10452
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,66 56 Forest Avenue,Queens,New York,11385
Jobs & Internships,In-School Youth Employment (ISY),Adlai E. Stevenson High School - H.S. 450,Bronx,"Episcopal Social Services, of New York, Inc.",212.886.5602,High School,1980 Lafayette Avenue,Bronx,New York,10473
Jobs & Internships,In-School Youth Employment (ISY),Middle School 2,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,655 Parkside Avenue,Brooklyn,New York,11226
Jobs & Internships,In-School Youth Employment (ISY),"Asociaciones Dominicanas, Inc",Brooklyn,"Asociaciones Dominicanas, Inc",212.247.2929,High School,202 Union Avenue,Brooklyn,New York,11211
Jobs & Internships,In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,1400 Pennsylvania Avenue,Brooklyn,New York,11239
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council,Queens,Chinese American Planning Council,212.941.0920,High School,136 18 39th Avenue,Queens,New York,11354
Jobs & Internships,In-School Youth Employment (ISY),Citizens Advice Bureau/Girls Club of New York,Bronx,"Citizens Advice Bureau, Inc.",718.365.0910,High School,1130 Grand,Bronx,New York,10456
Jobs & Internships,In-School Youth Employment (ISY),LaGuardia Community College,Queens,Research Foundation of CUNY/LaGuardia Community College,718.270.6908,High School,31 10 Thomson Avenue,Queens,New York,11101
